company_name,careers_url,parser,enabled,note
浙江古茗科技有限公司,https://app.mokahr.com/campus-recruitment/guming/39377,generic,false,"Moka ATS（API 加密），需专属适配；校招站点"
北京字节跳动科技有限公司,https://jobs.bytedance.com/experienced/position,generic,false,"SPA + 私有 API，需专属适配（岗位量最大，优先）"
百度在线网络技术(北京)有限公司,https://talent.baidu.com,generic,false,"落地页跳转 campus.baidu.com（SPA），需专属适配"
顺丰速运有限公司,https://hr.sf-express.com,generic,false,"302 跳转后无稳定岗位列表，待专项探测"
同程网络科技股份有限公司,https://job.ly.com,generic,false,"SPA 壳，需专属适配"
中国平安保险(集团)股份有限公司,https://talent.pingan.com,generic,false,"SPA + 私有 API，需专属适配"
泰康人寿保险有限责任公司,https://job.taikang.com,generic,false,"域名不可达，待核实新招聘入口"
华硕电脑(上海)有限公司,https://www.asus.com.cn,generic,false,"官网无稳定招聘列表页，待专项探测"
海尔智家股份有限公司,https://hr.haier.com,generic,false,"域名不可达，待核实新招聘入口"
浙江苏泊尔股份有限公司,https://www.supor.com.cn,generic,false,"官网招聘路径 404/500，待核实"
佛山市海天调味食品股份有限公司,https://www.haitian-food.com,generic,false,"无招聘列表页，官网跳转 haday.com"
仁和药业股份有限公司,http://www.renhe.com,generic,false,"域名抓取失败，待核实"
北京趣拿信息技术有限公司,https://careers.qunar.com,generic,false,"域名不可达，待核实"
三星(中国)投资有限公司,https://www.samsung.com/cn/about-us/careers/,generic,false,"官网 careers 页为介绍页，需总部 ATS 适配"
